,Division (Or Total if not subdivision),1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Agency,Year
982,FAA,4347,450,97,45,20,24,14,6,11,6,30,16,94,5160,DOT,2008
983,FHWA,309,73,27,6,10,8,1,3,1,1,6,4,1,450,DOT,2008
984,FMCSA,43,295,196,46,13,6,2,3,4,0,8,0,2,618,DOT,2008
985,FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOT,2008
986,FTA,120,47,14,5,4,4,1,0,0,0,1,0,0,196,DOT,2008
987,MARAD,64,15,6,4,2,0,6,0,1,1,6,3,25,133,DOT,2008
988,NHTSA,149,40,1,0,0,0,0,0,0,0,0,0,0,190,DOT,2008
989,OIG,24,3,2,0,2,0,0,1,0,2,8,9,19,70,DOT,2008
990,OST,91,12,4,2,3,1,0,2,2,0,2,2,4,125,DOT,2008
991,PHMSA,42,15,3,28,8,3,3,0,1,3,12,14,25,157,DOT,2008
992,RITA,27,7,6,4,0,0,0,0,0,0,0,0,0,44,DOT,2008
993,SLSDC,17,0,1,0,0,1,0,1,0,0,0,0,0,20,DOT,2008
994,Total,5233,957,357,140,62,47,27,16,20,13,73,48,170,7163,DOT,2008
995,FAA,3504,385,133,59,40,23,19,15,23,17,52,41,66,4377,DOT,2009
996,FHWA,280,71,20,12,7,3,12,2,3,2,4,1,1,418,DOT,2009
997,FMCSA,54,313,139,18,5,0,0,0,0,0,6,2,0,537,DOT,2009
998,FRA,133,83,31,12,16,7,12,6,3,3,18,4,23,351,DOT,2009
999,FTA,135,64,8,3,2,0,1,1,0,1,4,0,0,219,DOT,2009
1000,MARAD,2,0,0,0,0,0,0,0,8,8,6,5,0,29,DOT,2009
1001,NHTSA,157,94,12,4,2,0,0,1,1,0,0,0,0,271,DOT,2009
1002,OIG,23,12,16,11,14,6,6,2,5,4,11,13,8,131,DOT,2009
1003,OST,156,9,4,2,1,0,0,0,0,1,3,0,2,178,DOT,2009
1004,PHMSA,73,15,0,4,4,4,1,3,1,6,6,4,8,129,DOT,2009
1005,RITA,36,8,1,0,0,0,0,0,0,0,0,0,0,45,DOT,2009
1006,SLSDC,4,0,0,0,0,0,0,0,1,0,0,0,0,5,DOT,2009
1007,Total,4557,1054,364,125,91,43,51,30,45,42,110,70,108,6690,DOT,2009
1008,FAA,4804,470,110,54,23,24,28,9,17,12,20,11,33,5615,DOT,2010
1009,FHWA,234,52,16,3,6,3,1,1,0,1,2,0,6,325,DOT,2010
1010,FMCSA,45,247,93,6,4,1,0,2,3,1,0,0,0,402,DOT,2010
1011,FRA,94,82,33,20,14,15,18,10,13,13,19,27,34,392,DOT,2010
1012,FTA,109,62,15,7,1,2,0,0,0,0,0,0,0,196,DOT,2010
1013,MARAD,1,0,0,0,0,0,0,0,0,1,0,1,2,5,DOT,2010
1014,NHTSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOT,2010
1015,OIG,35,9,5,3,0,1,0,0,2,2,4,0,0,61,DOT,2010
1016,OST,87,6,2,0,0,1,0,0,0,0,0,0,0,96,DOT,2010
1017,PHMSA,36,12,5,2,1,3,0,1,0,0,0,0,1,61,DOT,2010
1018,RITA,34,3,0,1,0,0,0,0,0,0,0,0,0,38,DOT,2010
1019,SLSDC,7,0,0,0,0,0,0,0,0,0,0,0,0,7,DOT,2010
1020,Total,5486,943,279,96,49,50,47,23,35,30,45,39,76,7198,DOT,2010
1021,FAA,5775,835,213,65,24,13,13,12,11,7,29,15,33,7045,DOT,2011
1022,FHWA,245,69,6,3,2,3,3,4,1,0,9,6,11,362,DOT,2011
1023,FMCSA,246,240,393,37,8,0,0,1,0,0,0,0,0,925,DOT,2011
1024,FRA,141,67,38,21,8,9,5,6,14,14,16,13,16,368,DOT,2011
1025,FTA,156,78,14,9,2,0,1,0,0,0,0,0,0,260,DOT,2011
1026,MARAD,43,16,5,4,8,1,4,5,1,2,14,20,42,165,DOT,2011
1027,NHTSA,134,32,13,5,3,4,1,4,1,1,2,2,0,202,DOT,2011
1028,OIG,35,10,10,4,3,3,3,3,3,2,3,0,0,79,DOT,2011
1029,OST,97,16,2,0,4,0,1,0,0,0,0,0,0,120,DOT,2011
1030,PHMSA,42,2,0,1,0,0,0,0,0,0,0,0,0,45,DOT,2011
1031,RITA,32,5,2,1,1,0,0,0,0,0,0,0,0,41,DOT,2011
1032,SLSDC,14,1,0,0,0,0,0,0,0,0,0,0,0,15,DOT,2011
1033,Total,6960,1371,696,150,63,33,31,35,31,26,73,56,102,9627,DOT,2011
1034,FAA,4983,376,59,25,14,13,7,6,3,3,13,3,16,5521,DOT,2012
1035,FHWA,331,71,22,14,12,6,4,1,0,1,3,2,4,471,DOT,2012
1036,FMCSA,99,507,746,43,3,1,0,0,0,0,0,0,0,1399,DOT,2012
1037,FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOT,2012
1038,FTA,208,88,15,4,1,0,0,1,0,1,0,0,0,318,DOT,2012
1039,MARAD,20,12,11,6,1,4,2,6,7,2,6,9,37,123,DOT,2012
1040,NHTSA,98,22,2,0,0,0,1,0,1,0,0,0,0,124,DOT,2012
1041,OIG,42,5,6,5,14,3,3,1,4,0,0,0,0,83,DOT,2012
1042,OST,127,5,2,1,1,1,1,0,0,0,0,0,0,138,DOT,2012
1043,PHMSA,41,3,0,1,0,1,0,0,0,0,0,0,0,46,DOT,2012
1044,RITA,27,5,0,0,0,1,0,0,0,0,0,0,0,33,DOT,2012
1045,SLSDC,21,0,0,0,0,0,0,0,0,0,0,0,0,21,DOT,2012
1046,Total,5997,1094,863,99,46,30,18,15,15,7,22,14,57,8277,DOT,2012
1047,FAA,4533,552,62,26,21,6,10,4,1,3,19,12,21,5270,DOT,2013
1048,FHWA,271,57,12,7,5,2,6,4,2,1,1,3,1,372,DOT,2013
1049,FMCSA,129,164,743,192,13,5,4,1,0,0,0,0,0,1251,DOT,2013
1050,FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOT,2013
1051,FTA,146,99,16,4,3,0,1,1,0,0,1,0,0,271,DOT,2013
1052,MARAD,65,12,12,3,2,7,1,2,1,5,4,7,13,134,DOT,2013
1053,NHTSA,132,49,11,0,0,0,0,0,0,0,1,0,0,193,DOT,2013
1054,OIG,41,10,7,15,11,5,1,0,0,0,0,0,0,90,DOT,2013
1055,OST,104,10,3,0,0,0,1,0,0,0,0,0,0,118,DOT,2013
1056,PHMSA,25,2,1,1,0,0,1,0,1,0,0,0,0,31,DOT,2013
1057,RITA,19,1,0,0,0,0,0,0,0,0,0,0,0,20,DOT,2013
1058,SLSDC,6,1,0,0,0,0,0,0,0,0,0,0,0,7,DOT,2013
1059,Total,5471,957,867,248,55,25,25,12,5,9,26,22,35,7757,DOT,2013
1060,FAA,5714,707,58,30,25,14,8,4,3,3,17,4,10,6597,DOT,2014
1061,FHWA,268,67,18,13,4,3,3,2,0,0,4,0,4,386,DOT,2014
1062,FMCSA,72,120,280,324,113,41,8,1,0,0,0,0,0,959,DOT,2014
1063,FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOT,2014
1064,FTA,139,91,16,5,1,5,0,0,0,1,2,4,1,265,DOT,2014
1065,MARAD,28,4,3,3,4,2,2,1,0,2,1,3,18,71,DOT,2014
1066,NHTSA,111,44,14,10,8,1,2,1,0,1,0,2,1,195,DOT,2014
1067,OIG,55,5,3,3,4,4,5,9,2,2,0,0,0,92,DOT,2014
1068,OST,107,15,6,0,2,0,0,0,0,0,0,1,0,131,DOT,2014
1069,PHMSA,40,15,10,7,5,3,7,2,0,0,0,2,1,92,DOT,2014
1070,RITA,12,5,0,0,0,0,0,0,0,0,0,0,0,17,DOT,2014
1071,SLSDC,9,2,0,0,0,0,0,0,0,0,0,0,0,11,DOT,2014
1072,Total,6555,1075,408,395,166,73,35,20,5,9,24,16,35,8816,DOT,2014
1073,FAA,6779,637,88,88,21,28,12,8,8,5,22,12,31,7739,DOT,2015
1074,FHWA,187,46,10,5,0,0,0,0,0,0,0,0,0,248,DOT,2015
1075,FMCSA,83,158,106,63,217,242,104,53,16,3,5,1,1,1052,DOT,2015
1076,FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOT,2015
1077,FTA,143,114,8,5,2,1,0,0,0,0,0,0,0,273,DOT,2015
1078,MARAD,39,13,9,1,2,2,0,0,0,0,0,1,3,70,DOT,2015
1079,NHTSA,117,38,6,6,4,2,1,3,4,5,7,1,0,194,DOT,2015
1080,OIG,41,15,7,7,6,0,5,5,6,3,3,0,0,98,DOT,2015
1081,OST,97,27,19,10,15,4,13,5,1,1,6,1,0,199,DOT,2015
1082,PHMSA,74,17,8,4,4,5,5,0,1,0,6,1,0,125,DOT,2015
1083,RITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOT,2015
1084,SLSDC,27,1,0,0,0,0,0,0,0,0,0,0,0,28,DOT,2015
1085,Total,7587,1066,261,189,271,284,140,74,36,17,49,17,35,10026,DOT,2015
1086,AF,5578,1183,0,0,0,0,0,0,0,0,0,0,0,6761,DoD,2008
1087,ARMY,15384,2051,837,513,388,407,281,188,141,73,263,171,244,20941,DoD,2008
1088,ASBCA,15,0,0,0,0,0,0,0,0,0,0,0,0,15,DoD,2008
1089,CENTCOM,34,20,10,1,0,0,1,0,0,0,0,0,0,66,DoD,2008
1090,DCAA,70,1,0,0,0,0,0,0,0,0,0,0,0,71,DoD,2008
1091,DCMA,105,8,0,0,0,0,0,0,0,0,0,0,0,113,DoD,2008
1092,DeCA,60,0,0,0,0,0,0,0,0,0,0,0,0,60,DoD,2008
1093,DFAS,150,44,13,3,1,0,0,0,0,0,0,0,0,211,DoD,2008
1094,DIA,218,0,0,0,0,0,0,0,0,0,0,0,0,218,DoD,2008
1095,DISA,139,12,9,5,2,1,5,1,7,6,14,15,6,222,DoD,2008
1096,DLA,4941,30,8,10,15,19,19,28,25,19,92,20,6,5232,DoD,2008
1097,DoDEA,12,17,4,0,0,0,0,0,0,0,0,0,0,33,DoD,2008
1098,DoDIG,264,35,3,6,2,0,1,0,1,0,1,0,8,321,DoD,2008
1099,DSS,40,21,12,4,1,1,0,0,0,0,0,0,0,79,DoD,2008
1100,DTIC,50,1,0,0,0,0,0,0,0,0,0,0,0,51,DoD,2008
1101,DTRA,24,1,0,0,0,0,0,0,0,0,0,0,0,25,DoD,2008
1102,EUCOM,8,0,1,5,1,4,0,2,0,0,0,0,0,21,DoD,2008
1103,JFCOM,2,1,0,1,0,0,1,0,0,0,1,1,1,8,DoD,2008
1104,NAVY,8014,1116,956,378,277,184,54,41,24,23,52,17,29,11165,DoD,2008
1105,NGA,8,2,0,0,0,0,1,0,0,0,1,0,1,13,DoD,2008
1106,NORTHCOM,37,1,0,0,0,0,0,0,0,0,0,0,0,38,DoD,2008
1107,NRO,109,27,1,0,0,0,0,0,0,0,0,0,0,137,DoD,2008
1108,NSA,961,75,29,22,14,14,17,15,12,4,24,20,74,1281,DoD,2008
1109,OSD/JS,811,34,10,6,3,4,6,5,1,1,4,0,1,886,DoD,2008
1110,PACOM,40,3,3,1,2,3,0,0,0,2,3,1,41,99,DoD,2008
1111,SOCOM,20,0,1,2,0,0,4,0,7,1,7,6,1,49,DoD,2008
1112,SOUTHCOM,4,0,27,0,55,0,7,0,10,0,33,29,3,168,DoD,2008
1113,STRATCOM,23,7,0,0,0,0,0,0,0,0,0,0,0,30,DoD,2008
1114,TRANSCOM,34,3,0,0,0,0,0,0,0,0,0,0,0,37,DoD,2008
1115,TRICARE,31,2,0,0,0,1,1,1,0,1,0,0,0,37,DoD,2008
1116,Total,37186,4695,1924,957,761,638,398,281,228,130,495,280,415,48388,DoD,2008
1117,AF,5205,382,95,41,21,7,5,6,4,2,12,7,10,5797,DoD,2009
1118,AFRICOM,15,6,0,0,0,0,0,0,0,0,0,0,0,21,DoD,2009
1119,ARMY,16830,1428,757,583,174,645,149,101,80,52,565,33,59,21456,DoD,2009
1120,ASBCA,10,0,0,0,0,0,0,0,0,0,0,0,0,10,DoD,2009
1121,CENTCOM,46,5,0,3,0,2,1,1,1,3,0,5,3,70,DoD,2009
1122,DCAA,71,2,0,1,0,0,0,0,0,0,0,0,0,74,DoD,2009
1123,DCMA,73,22,7,2,2,1,0,1,0,0,0,0,0,108,DoD,2009
1124,DeCA,78,33,7,0,0,0,0,0,0,0,0,0,0,118,DoD,2009
1125,DFAS,165,40,10,3,1,0,1,0,0,0,0,0,0,220,DoD,2009
1126,DIA,160,0,0,0,0,0,0,0,0,0,0,0,0,160,DoD,2009
1127,DISA,155,21,6,3,2,0,4,0,6,3,9,3,4,216,DoD,2009
1128,DLA,5148,158,28,16,13,25,4,6,2,0,55,0,1,5456,DoD,2009
1129,DoDEA,56,4,0,0,0,0,0,0,0,0,0,0,0,60,DoD,2009
1130,DoDIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DoD,2009
1131,DSS,59,2,0,0,0,0,0,0,0,0,0,0,0,61,DoD,2009
1132,DTIC,139,15,4,3,0,0,0,0,0,0,0,0,0,161,DoD,2009
1133,DTRA,15,1,0,0,0,0,0,0,0,0,0,0,0,16,DoD,2009
1134,EUCOM,11,4,3,2,4,0,0,1,1,1,1,2,1,31,DoD,2009
1135,JFCOM,5,0,0,2,0,0,0,0,0,0,0,0,0,7,DoD,2009
1136,NAVY,7079,1183,471,194,137,103,78,46,38,23,74,44,137,9607,DoD,2009
1137,NGA,6,0,0,0,0,0,1,0,0,1,1,0,1,10,DoD,2009
1138,NGB,7,5,2,0,1,1,0,0,0,0,0,0,0,16,DoD,2009
1139,NORTHCOM,27,0,0,0,0,0,0,0,0,0,0,0,0,27,DoD,2009
1140,NRO,77,4,4,1,0,0,0,0,0,0,0,0,0,86,DoD,2009
1141,NSA,665,73,42,26,8,11,11,9,12,8,32,14,25,936,DoD,2009
1142,OSD/JS,914,47,47,10,8,6,3,0,4,2,8,8,5,1062,DoD,2009
1143,PACOM,46,6,0,6,4,0,0,0,0,0,0,0,0,62,DoD,2009
1144,SOCOM,2,2,1,0,1,0,2,3,1,2,10,11,1,36,DoD,2009
1145,SOUTHCOM,14,0,0,0,0,0,0,0,0,0,0,0,0,14,DoD,2009
1146,STRATCOM,29,3,0,0,0,0,0,0,0,0,0,0,0,32,DoD,2009
1147,TRANSCOM,27,23,7,3,3,1,0,0,0,0,0,0,0,64,DoD,2009
1148,TRICARE,48,0,0,0,0,0,0,0,0,0,0,0,0,48,DoD,2009
1149,Total,37182,3469,1491,899,379,802,259,174,149,97,767,127,247,46042,DoD,2009
1150,AF,4621,728,194,112,45,32,20,16,10,10,49,25,37,5899,DoD,2010
1151,AFRICOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DoD,2010
1152,ARMY,14004,1731,763,557,179,0,113,77,63,46,227,100,110,17970,DoD,2010
1153,ASBCA,2,0,0,0,0,0,0,0,0,0,0,0,0,2,DoD,2010
1154,CENTCOM,32,10,4,13,2,9,12,2,10,6,11,16,11,138,DoD,2010
1155,DCAA,91,6,1,0,0,0,0,0,0,0,0,1,2,101,DoD,2010
1156,DCMA,47,22,12,7,3,2,1,0,0,1,0,0,0,95,DoD,2010
1157,DeCA,229,26,4,0,1,0,0,0,0,0,0,0,0,260,DoD,2010
1158,DFAS,131,34,5,0,0,0,0,0,0,0,0,0,0,170,DoD,2010
1159,DIA,118,0,0,0,0,0,0,0,0,0,0,0,0,118,DoD,2010
1160,DISA,146,28,21,4,5,3,1,6,5,4,29,19,84,355,DoD,2010
1161,DLA,6016,114,52,23,14,14,4,3,1,0,2,0,0,6243,DoD,2010
1162,DoDEA,27,15,2,1,0,0,0,0,0,0,0,0,0,45,DoD,2010
1163,DoDIG,46,3,0,1,0,0,0,0,0,0,0,0,0,50,DoD,2010
1164,DSS,33,4,2,0,1,0,0,0,0,0,0,0,0,40,DoD,2010
1165,DTIC,65,14,1,3,0,0,3,9,0,0,1,0,0,96,DoD,2010
1166,DTRA,10,0,0,0,0,0,0,0,0,0,0,0,0,10,DoD,2010
1167,EUCOM,27,3,6,5,5,1,1,1,0,0,5,5,4,63,DoD,2010
1168,JFCOM,16,3,1,2,0,4,0,1,1,0,3,5,8,44,DoD,2010
1169,NAVY,6425,1137,357,172,78,59,35,23,19,10,57,50,59,8481,DoD,2010
1170,NGA,12,0,2,0,0,0,0,0,0,0,0,0,1,15,DoD,2010
1171,NGB,15,0,1,0,0,0,0,0,1,0,0,0,0,17,DoD,2010
1172,NORTHCOM,51,4,0,0,0,0,0,0,0,0,0,0,0,55,DoD,2010
1173,NRO,170,39,0,0,0,0,0,0,0,0,0,0,0,209,DoD,2010
1174,NSA,683,125,43,49,21,11,10,7,4,4,10,10,30,1007,DoD,2010
1175,OSD/JS,790,41,5,3,1,2,2,0,0,2,5,0,9,860,DoD,2010
1176,PACOM,5,0,0,0,0,0,0,0,0,0,0,0,0,5,DoD,2010
1177,SOCOM,29,2,0,2,0,0,0,0,0,0,1,0,2,36,DoD,2010
1178,SOUTHCOM,16,0,0,0,0,0,0,0,0,0,0,0,0,16,DoD,2010
1179,STRATCOM,47,11,3,1,0,0,0,0,0,0,0,0,0,62,DoD,2010
1180,TRANSCOM,17,5,8,3,5,2,0,0,0,0,0,0,0,40,DoD,2010
1181,TRICARE,2,0,0,0,0,0,0,0,0,0,0,0,0,2,DoD,2010
1182,Total,33923,4105,1487,958,360,139,202,145,114,83,400,231,357,42504,DoD,2010
1183,AF,3996,561,178,63,49,28,27,17,21,6,28,12,38,5024,DoD,2011
1184,AFRICOM,5,0,1,0,0,0,0,0,0,0,0,0,0,6,DoD,2011
1185,ARMY,19110,1463,467,224,108,63,50,39,23,20,96,68,73,21804,DoD,2011
1186,ASBCA,3,0,0,0,0,0,0,0,0,0,0,0,0,3,DoD,2011
1187,CENTCOM,87,26,13,10,12,1,1,1,4,0,13,15,23,206,DoD,2011
1188,DCAA,89,5,0,0,0,0,0,0,0,0,0,0,0,94,DoD,2011
1189,DCMA,51,27,15,20,5,3,1,4,3,1,3,0,0,133,DoD,2011
1190,DeCA,137,26,2,2,0,0,0,0,0,0,0,0,0,167,DoD,2011
1191,DFAS,86,37,0,0,0,0,0,0,0,0,0,0,0,123,DoD,2011
1192,DIA,202,0,0,0,0,0,0,0,0,0,0,0,0,202,DoD,2011
1193,DISA,29,11,8,12,0,6,1,4,1,1,2,0,2,77,DoD,2011
1194,DLA,6652,66,31,13,6,6,2,2,3,0,0,0,0,6781,DoD,2011
1195,DoD IG,65,0,0,0,0,0,0,0,0,0,0,0,0,65,DoD,2011
1196,DoDEA,30,15,5,5,2,1,0,0,0,0,0,0,0,58,DoD,2011
1197,DSS,52,1,0,0,0,0,0,0,0,0,0,0,0,53,DoD,2011
1198,DTIC,50,44,4,0,0,0,1,0,0,0,0,0,0,99,DoD,2011
1199,DTRA,38,4,3,0,0,1,1,0,0,0,0,0,0,47,DoD,2011
1200,EUCOM,34,7,8,6,0,0,0,0,0,0,1,0,5,61,DoD,2011
1201,JFCOM,17,5,6,3,0,0,0,0,0,0,0,0,0,31,DoD,2011
1202,NAVY,5604,1046,361,195,89,59,35,19,15,19,32,33,39,7546,DoD,2011
1203,NGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DoD,2011
1204,NGB,14,4,1,0,0,1,0,0,0,0,0,0,0,20,DoD,2011
1205,NORTHCOM,25,13,0,0,0,1,0,0,0,0,0,0,0,39,DoD,2011
1206,NRO,135,24,3,0,0,0,0,0,0,0,0,0,0,162,DoD,2011
1207,NSA,610,124,56,32,17,14,12,5,9,13,65,39,52,1048,DoD,2011
1208,OSD/JS,642,27,9,4,6,0,1,2,1,0,6,2,4,704,DoD,2011
1209,PACOM,8,0,0,0,0,0,0,0,0,0,0,0,0,8,DoD,2011
1210,SOCOM,20,5,0,0,1,0,0,1,0,0,2,0,4,33,DoD,2011
1211,SOUTHCOM,11,7,0,0,0,0,0,0,0,0,0,0,0,18,DoD,2011
1212,STRATCOM,28,5,1,2,1,1,0,1,1,0,0,0,1,41,DoD,2011
1213,TRANSCOM,63,15,4,4,0,1,0,0,0,0,0,0,0,87,DoD,2011
1214,TRICARE,41,12,2,1,1,0,0,0,0,0,0,0,0,57,DoD,2011
1215,Total,37934,3580,1178,596,297,186,132,95,81,60,248,169,241,44797,DoD,2011
1216,AF,3330,411,56,12,15,6,5,3,1,3,4,0,9,3855,DoD,2012
1217,AFRICOM,5,4,1,0,0,0,0,0,0,0,0,0,0,10,DoD,2012
1218,ARMY,18980,1083,151,13,5,3,2,1,1,0,4,1,1,20245,DoD,2012
1219,ASBCA,3,1,0,0,0,0,0,0,0,0,0,0,0,4,DoD,2012
1220,CENTCOM,33,14,13,4,2,2,0,2,2,0,4,2,6,84,DoD,2012
1221,DCAA,59,2,0,0,0,0,0,0,0,0,0,0,0,61,DoD,2012
1222,DCMA,27,10,3,8,4,0,0,1,2,0,2,1,2,60,DoD,2012
1223,DeCA,176,23,0,2,0,0,0,0,0,0,0,0,0,201,DoD,2012
1224,DFAS,190,26,2,1,0,0,0,0,0,0,0,0,0,219,DoD,2012
1225,DIA,693,0,0,0,0,0,0,0,0,0,0,0,0,693,DoD,2012
1226,DISA,126,18,7,5,1,1,3,0,1,2,3,1,3,171,DoD,2012
1227,DLA,5662,98,13,9,1,1,0,0,0,0,0,0,1,5785,DoD,2012
1228,DoD IG,220,4,1,0,0,1,0,0,0,0,0,0,0,226,DoD,2012
1229,DoDEA,23,19,4,2,1,0,0,0,0,0,0,0,0,49,DoD,2012
1230,DSS,40,0,0,0,0,0,0,0,0,0,0,0,0,40,DoD,2012
1231,DTIC,72,0,0,0,0,0,0,0,0,0,0,0,0,72,DoD,2012
1232,DTRA,22,4,0,0,0,0,0,1,0,0,0,0,0,27,DoD,2012
1233,EUCOM,42,7,4,2,0,0,0,0,0,0,0,0,0,55,DoD,2012
1234,NAVY,7206,0,0,0,0,0,0,0,0,0,0,0,0,7206,DoD,2012
1235,NGA,0,0,0,0,0,0,0,0,0,0,2,1,0,3,DoD,2012
1236,NGB,20,2,0,0,0,0,0,0,0,0,0,0,0,22,DoD,2012
1237,NORTHCOM,27,10,4,1,0,0,0,0,3,0,0,0,0,45,DoD,2012
1238,NRO,131,18,0,0,0,0,0,0,0,0,0,0,0,149,DoD,2012
1239,NSA,1275,74,33,35,24,21,25,18,15,5,37,36,50,1648,DoD,2012
1240,OSD/JS,526,34,12,0,0,2,0,2,1,0,0,0,1,578,DoD,2012
1241,PACOM,5,0,0,0,0,0,0,0,0,0,0,0,0,5,DoD,2012
1242,SOCOM,46,0,0,0,0,0,0,0,0,0,0,0,0,46,DoD,2012
1243,SOUTHCOM,50,0,0,0,0,0,0,0,0,0,0,0,0,50,DoD,2012
1244,STRATCOM,18,3,1,0,0,0,0,0,0,0,0,0,0,22,DoD,2012
1245,TRANSCOM,45,0,0,0,0,0,0,0,0,0,0,0,0,45,DoD,2012
1246,TRICARE,86,13,9,3,0,2,0,0,2,0,0,0,0,115,DoD,2012
1247,Total,39138,1878,314,97,53,39,35,28,28,10,56,42,73,41791,DoD,2012
1248,AF,3417,329,70,41,17,14,7,3,4,1,2,4,6,3915,DoD,2013
1249,AFRICOM,2,3,1,1,0,0,0,0,0,0,0,0,0,7,DoD,2013
1250,ARMY,16543,278,9,8,0,2,0,2,0,0,1,0,1,16844,DoD,2013
1251,ASBCA,3,0,0,0,0,0,0,0,0,0,0,0,0,3,DoD,2013
1252,CENTCOM,35,0,0,0,0,0,0,0,0,0,0,0,0,35,DoD,2013
1253,DCAA,96,1,0,0,0,0,0,0,0,0,0,0,0,97,DoD,2013
1254,DCMA,52,12,1,0,0,0,0,0,0,0,0,0,0,65,DoD,2013
1255,DeCA,146,31,2,2,0,1,0,0,2,0,0,0,0,184,DoD,2013
1256,DFAS,217,28,2,1,0,0,0,0,0,0,0,0,0,248,DoD,2013
1257,DIA,910,0,0,0,0,0,0,0,0,0,0,0,0,910,DoD,2013
1258,DISA,178,14,0,6,5,6,6,5,2,1,3,1,1,228,DoD,2013
1259,DLA,4085,729,21,2,0,1,1,0,0,0,0,0,0,4839,DoD,2013
1260,DoD IG,156,0,0,0,0,0,0,0,0,0,0,0,0,156,DoD,2013
1261,DoDEA,24,17,1,0,0,0,0,0,0,0,0,0,0,42,DoD,2013
1262,DSS,87,0,0,0,0,0,0,0,0,0,0,0,0,87,DoD,2013
1263,DTIC,129,34,4,0,0,0,0,0,0,0,0,0,0,167,DoD,2013
1264,DTRA,34,2,0,2,0,0,0,0,0,0,0,0,0,38,DoD,2013
1265,EUCOM,54,4,2,1,0,0,0,0,0,0,0,0,0,61,DoD,2013
1266,JPRA,4,1,0,0,0,0,0,0,0,0,0,0,0,5,DoD,2013
1267,NAVY,6253,0,0,0,0,0,0,0,0,0,0,0,0,6253,DoD,2013
1268,NGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DoD,2013
1269,NGB,20,1,0,0,0,0,0,0,0,0,0,0,0,21,DoD,2013
1270,NORTHCOM,81,2,0,0,0,0,0,0,0,0,0,0,0,83,DoD,2013
1271,NRO,46,0,0,0,0,0,0,0,0,0,0,0,0,46,DoD,2013
1272,NSA,3708,117,41,12,6,9,3,3,2,3,18,10,37,3969,DoD,2013
1273,OSD/JS,567,9,8,3,0,0,1,1,1,0,0,0,0,590,DoD,2013
1274,PACOM,10,0,0,0,0,0,0,0,0,0,0,0,0,10,DoD,2013
1275,SOCOM,22,4,0,0,1,0,0,0,0,0,0,0,0,27,DoD,2013
1276,SOUTHCOM,0,0,68,0,0,0,0,0,0,0,0,0,0,68,DoD,2013
1277,STRATCOM,16,0,0,0,0,0,0,0,0,0,0,0,0,16,DoD,2013
1278,TRANSCOM,29,0,0,0,0,0,0,0,0,0,0,0,0,29,DoD,2013
1279,TRICARE,66,15,3,0,1,1,0,0,0,0,0,1,0,87,DoD,2013
1280,Total,36990,1631,233,79,30,34,18,14,11,5,24,16,45,39130,DoD,2013
1281,AF,3342,353,86,37,21,10,10,9,2,1,7,3,2,3883,DoD,2014
1282,AFRICOM,2,2,1,0,0,1,0,0,0,0,0,0,0,6,DoD,2014
1283,ARMY,18209,0,0,0,0,0,0,0,0,0,0,0,0,18209,DoD,2014
1284,ASBCA,2,10,0,0,0,0,0,0,0,0,0,0,0,12,DoD,2014
1285,CENTCOM,12,1,1,2,1,1,0,0,0,0,0,1,0,19,DoD,2014
1286,DCAA,74,3,0,0,0,0,0,0,0,0,0,0,0,77,DoD,2014
1287,DCMA,37,0,0,0,0,0,0,0,0,0,0,0,0,37,DoD,2014
1288,DeCA,85,30,17,1,1,1,0,0,0,3,6,0,0,144,DoD,2014
1289,DFAS,176,25,0,0,0,0,0,0,0,0,0,0,0,201,DoD,2014
1290,DHA,32,15,6,2,1,0,0,0,0,0,0,0,0,56,DoD,2014
1291,DIA,424,0,0,0,0,0,0,0,0,0,0,0,0,424,DoD,2014
1292,DISA,167,32,15,7,1,1,2,3,3,2,2,0,4,239,DoD,2014
1293,DLA,3304,15,0,0,0,0,0,0,0,0,0,0,0,3319,DoD,2014
1294,DoD IG,262,0,0,0,0,0,0,0,0,0,0,0,0,262,DoD,2014
1295,DoDEA,23,14,2,0,0,0,0,0,0,0,0,0,0,39,DoD,2014
1296,DSS,76,3,1,0,0,0,0,0,0,0,0,0,0,80,DoD,2014
1297,DTIC,202,0,0,0,0,0,0,0,0,0,0,0,0,202,DoD,2014
1298,DTRA,25,2,0,0,0,0,0,0,0,0,0,0,0,27,DoD,2014
1299,EUCOM,59,6,0,1,0,1,0,0,0,0,0,0,0,67,DoD,2014
1300,JPRA,3,0,0,0,0,0,0,0,0,0,0,0,0,3,DoD,2014
