,Division (Or Total if not subdivision),1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Agency,Year
184,USSS,61,0,0,0,0,0,0,0,0,0,0,0,0,61,DHS,2010
185,Total,21437,12559,7970,2942,1910,371,147,106,74,71,189,106,772,48654,DHS,2010
186,CBP,16497,1069,1199,1241,1506,1028,1279,1132,306,147,64,0,0,25468,DHS,2011
187,CRCL,48,1,0,0,0,0,0,0,0,0,0,0,0,49,DHS,2011
188,FEMA,8,3,1,1,0,3,3,6,15,7,49,46,122,264,DHS,2011
189,FLETC,82,15,11,5,5,3,3,0,1,0,1,0,0,126,DHS,2011
190,I&A,3,5,1,0,0,0,0,0,0,0,0,0,0,9,DHS,2011
191,ICE,11080,1655,917,223,95,32,16,15,2,2,1,1,0,14039,DHS,2011
192,MGMT,80,18,0,1,0,0,0,0,0,0,0,0,0,99,DHS,2011
193,NPPD,22,42,10,2,3,2,4,1,3,2,3,0,0,94,DHS,2011
194,OGC,16,5,0,0,1,0,0,0,0,0,0,0,0,22,DHS,2011
195,OIG,82,2,0,0,0,0,0,0,0,0,0,0,0,84,DHS,2011
196,OPS,19,0,0,0,0,0,0,0,0,0,0,0,0,19,DHS,2011
197,PLCY,9,0,0,0,0,0,0,0,0,0,0,0,0,9,DHS,2011
198,PRIV,843,0,0,0,0,0,0,0,0,0,0,0,0,843,DHS,2011
199,S&T,23,3,2,0,0,0,0,0,0,0,0,0,0,28,DHS,2011
200,TSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DHS,2011
201,US-VISIT,2623,44,2,0,1,2,1,0,2,1,5,0,0,2681,DHS,2011
202,USCG,1987,70,20,16,9,8,19,4,7,0,13,5,2,2160,DHS,2011
203,USCIS,4657,2274,2948,2517,1158,1560,2364,137,35,20,33,9,1121,18833,DHS,2011
204,USSS,68,0,0,0,0,0,0,0,0,0,0,0,0,68,DHS,2011
205,Total,38147,5206,5111,4006,2778,2638,3689,1295,371,179,169,61,1245,64895,DHS,2011
206,CBP,3993,2157,1052,1122,1454,3472,3895,2628,2276,1439,1834,20,1,25343,DHS,2012
207,CRCL,49,0,0,0,0,0,0,0,0,0,0,0,0,49,DHS,2012
208,FEMA,56,70,84,58,30,27,43,32,21,16,71,62,190,760,DHS,2012
209,FLETC,36,6,1,1,1,0,0,0,0,3,0,0,0,48,DHS,2012
210,I&A,4,0,0,0,0,0,0,0,0,0,0,0,0,4,DHS,2012
211,ICE,10397,5353,2947,511,198,64,25,18,8,0,0,0,0,19521,DHS,2012
212,MGMT,19,5,0,0,0,0,0,0,0,0,0,0,0,24,DHS,2012
213,NPPD,1947,1682,1065,29,7,5,1,2,0,0,0,0,0,4738,DHS,2012
214,OGC,6,0,0,0,0,0,0,0,0,0,0,0,0,6,DHS,2012
215,OIG,72,9,7,0,0,0,0,0,0,0,0,0,0,88,DHS,2012
216,OPS,24,0,0,0,0,0,0,0,0,0,0,0,0,24,DHS,2012
217,PLCY,5,0,0,0,0,0,0,0,0,0,0,0,0,5,DHS,2012
218,PRIV,239,25,1,0,0,0,0,0,0,0,0,0,0,265,DHS,2012
219,S&T,26,2,1,0,0,0,0,0,0,0,0,0,0,29,DHS,2012
220,TSA,297,0,0,0,0,0,0,0,0,0,0,0,0,297,DHS,2012
221,USCG,2625,106,30,4,6,2,5,2,5,0,3,1,1,2790,DHS,2012
222,USCIS,7151,1231,1216,1210,803,1202,4038,5974,352,164,377,40,547,24305,DHS,2012
223,USSS,136,0,0,0,0,0,0,0,0,0,0,0,0,136,DHS,2012
224,Total,27082,10646,6404,2935,2499,4772,8007,8656,2662,1622,2285,123,739,78432,DHS,2012
225,CBP,1730,828,1071,434,359,288,316,724,354,194,2561,746,3,9608,DHS,2013
226,CRCL,28,0,0,0,0,0,0,0,0,0,0,0,0,28,DHS,2013
227,FEMA,38,31,64,57,59,67,65,61,49,47,112,52,54,756,DHS,2013
228,FLETC,82,23,9,6,1,0,0,0,0,1,0,0,0,122,DHS,2013
229,I&A,3,7,2,2,0,0,0,0,0,0,0,0,0,14,DHS,2013
230,ICE,9380,6132,7080,5230,1922,1182,506,966,1257,404,78,0,0,34137,DHS,2013
231,NPPD,5154,3041,3019,1196,657,1862,88,0,0,0,1,0,0,15018,DHS,2013
232,OIG,38,27,14,6,1,2,0,0,0,0,0,0,0,88,DHS,2013
233,OPS,20,0,0,0,0,0,0,0,0,0,0,0,0,20,DHS,2013
234,PRIV,151,18,10,8,2,2,1,1,0,0,0,0,0,193,DHS,2013
