Agency,Average Number of Days,Component,Highest Number of Days,Lowest Number of Days,Median Number of Days,Year
DoD,99.0,DISA,99.0,99.0,99.0,2009
DoD,78.0,DLA,400.0,1.0,42.0,2009
DoD,0.0,DoDEA,0.0,0.0,0.0,2009
DoD,121.0,DoDIG,2870.0,37.0,85.0,2009
DoD,1.0,DSS,1.0,1.0,1.0,2009
DoD,0.0,DTIC,0.0,0.0,0.0,2009
DoD,10.0,DTRA,13.0,5.0,12.0,2009
DoD,0.0,EUCOM,0.0,0.0,0.0,2009
DoD,0.0,JFCOM,0.0,0.0,0.0,2009
DoD,280.0,NAVY,961.0,122.0,260.0,2009
DoD,580.0,NGA,831.0,183.0,812.0,2009
DoD,0.0,NGB,0.0,0.0,0.0,2009
DoD,0.0,NORTHCOM,0.0,0.0,0.0,2009
DoD,61.0,NRO,61.0,61.0,61.0,2009
DoD,69.0,NSA,173.0,2.0,73.0,2009
DoD,846.0,OSD/JS,3065.0,2.0,717.0,2009
DoD,0.0,PACOM,0.0,0.0,0.0,2009
DoD,0.0,SOCOM,0.0,0.0,0.0,2009
DoD,0.0,SOUTHCOM,0.0,0.0,0.0,2009
DoD,0.0,STRATCOM,0.0,0.0,0.0,2009
DoD,0.0,TRANSCOM,0.0,0.0,0.0,2009
DoD,0.0,TRICARE,0.0,0.0,0.0,2009
DOE,30.0,HQ,351.0,1.0,15.0,2009
DOI,939.0,Appeals,2956.0,1.0,869.0,2009
DOJ,79.45,OIP,475.0,,54.0,2009
DOJ,24.0,USPC,113.0,1.0,8.0,2009
DOT,16.0,FAA,341.0,,5.0,2009
DOT,110.0,FHWA,646.0,1.0,49.0,2009
DOT,112.0,FMCSA,218.0,31.0,104.0,2009
DOT,46.0,FRA,86.0,21.0,39.0,2009
DOT,58.0,FTA,58.0,58.0,58.0,2009
DOT,108.0,MARAD,137.0,6.0,47.0,2009
DOT,60.0,NHTSA,71.0,38.0,62.0,2009
DOT,47.0,OIG,94.0,10.0,48.0,2009
DOT,8.0,OST,8.0,8.0,8.0,2009
DOT,169.0,PHMSA,366.0,18.0,122.0,2009
DOT,42.0,RITA,94.0,2.0,31.0,2009
DOT,0.0,SLSDC,0.0,0.0,0.0,2009
ED,95.0,OM-RIMS,317.0,13.0,63.0,2009
EPA,252.63,HQ,2528.0,,85.0,2009
Ex-Im Bank,12.0,AGENCY,21.0,4.0,12.0,2009
FCA,11.0,FCA,13.0,9.0,0.0,2009
FCC,653.0,FCC,989.0,211.0,611.0,2009
FCSIC,0.0,FCSIC,0.0,0.0,0.0,2009
FDIC,19.0,FDIC,40.0,9.0,20.0,2009
FEC,21.0,FEC,21.0,21.0,21.0,2009
FERC,36.0,FERC,94.0,19.0,29.0,2009
FFIEC,0.0,FFIEC,0.0,0.0,0.0,2009
FHFA,19.0,FHFA,52.0,8.0,17.0,2009
FLRA,0.0,FSIP,0.0,0.0,0.0,2009
FLRA,9.0,Authority,16.0,2.0,,2009
