SERO Dealer,Permit,Dealer,Address,City,State,Zipcode,Effective Date,Expiration Date
2333,HMS-ITP,OCEAN PROVIDENCE LAS VEGAS LLC,"3600 W. OQUENDO RD, SUITE A",LAS VEGAS,NV,89118,02/01/2016,02/28/2017
1131,HMS-ITP,SOUTH BAY SEAFOOD,1305 ARCTIC AVENUE,BOHEMIA,NY,11716,06/01/2016,06/30/2017
1672,HMS-ITP,SAVI SEAFOODS LLC,7649 CHARLEMONT DR,MANLIUS,NY,13104,03/01/2016,03/31/2017
1697,HMS-ITP,BIG BLUE OCEAN LLC,"410 JERICHO TURNPIKE, SUITE 304",JERICHO,NY,11753,04/09/2016,05/31/2017
1030,HMS-ITP,GREAT OCEANS LLC,"410 JERICHO TURNPIKE, SUITE 303",JERICHO,NY,11753,09/01/2016,09/30/2017
2750,HMS-ITP,ENSAM SEAFOOD LLC,"50 SYCAMORE ST, FLOOR 1",ALBANY,NY,12208,01/12/2016,06/30/2017
2635,HMS-ITP,JONAH AND THE WHALE SEAFOOD,6 HAWTHORNE COURT,NORTH SALEM,NY,10560,02/01/2016,02/28/2017
2627,HMS-ITP,PREMIUM OCEAN LLC,1271 RYAWA AVENUE,BRONX,NY,10474,07/01/2016,07/31/2017
2586,HMS-ITP,JAP EXPORTS INC,60 ELDRIDGE ST,NEW YORK,NY,10002,07/01/2016,07/31/2017
2553,HMS-ITP,D & E IMPORT LLC,PO BOX 326,SYOSSET,NY,11791,06/01/2016,06/30/2017
2729,HMS-ITP,R L E CORP DBA ATLANTIC,"INTERNATIONAL PRODUCTS, PO BOX 4429",UTICA,NY,13504,10/14/2015,04/30/2017
2265,HMS-ITP,EVERGREEN FOOD TRADING INC,59-18 56thRD,MASPETH,NY,11378,09/01/2016,09/30/2017
2188,HMS-ITP,WORLD WIDE FOOD PRODUCTS INC,147-07 94TH AVENUE,JAMACIA,NY,11435,04/01/2016,04/30/2017
2212,HMS-ITP,GEORGE BRAUN OYSTER CO INC,P.O. BOX 971,CUTCHOGUE,NY,11935,03/01/2016,03/31/2017
2195,HMS-ITP,CRYSTAL COVE SEAFOOD,109 SOUTH TYSON AVENUE,FLORAL PARK,NY,11001,07/01/2016,07/31/2017
2673,HMS-ITP,FRESH DIRECT LLC,23-30 BORDEN AVE,LONG ISLAND CITY,NY,11101,04/01/2016,04/30/2017
2244,HMS-ITP,MAYA FOODS INTERNATIONAL INC,"410 JERICHO TPKE,, SUITE 304",JERICHO,NY,11753,03/01/2016,03/31/2017
2023,HMS-ITP,CARLSON SEAFOOD LTD,PO BOX 693,SOUTHOLD,NY,11971,03/01/2016,03/31/2017
1960,HMS-ITP,WILD EDIBLES,740 BARRY ST,BRONX,NY,10474,09/01/2016,09/30/2017
1043,HMS-ITP,BLUE RIBBON FISH CO INC,"800 FOOD CENTER DRIVE, UNIT 67",BRONX,NY,10474,03/01/2016,03/31/2017
1584,HMS-ITP,NNPR INC,8190 - A BEECHMONT AVE PMB#273,CINCINNATI,OH,45255,05/01/2016,05/31/2017
2802,HMS-ITP,OREGON FISH GUYS INC,PO BOX 23785,TIGARD,OR,97281,07/22/2016,08/31/2017
2462,HMS-ITP,PACIFIC SEAFOOD CENTRAL PRO.,16797 SE 130TH AVE,CLACKAMAS,OR,97015,03/01/2016,03/31/2017
799,HMS-ITP,SAMUELS & SON SEAFOOD CO INC,3407 S LAWRENCE STREET,PHILADELPHIA,PA,19148,06/01/2016,06/30/2017
818,HMS-ITP,SEA FRESH USA INC,PO BOX 398,NORTH KINGSTOWN,RI,2852,09/01/2016,09/30/2017
1529,HMS-ITP,CHUBBY FISH INC,29 ANDRE AVE,WAKEFIELD,RI,2879,04/01/2016,04/30/2017
1976,HMS-ITP,COMPASS SEAFOOD LLC,30 BROWNING DRIVE,CHARLESTOWN,RI,2813,04/01/2016,04/30/2017
2481,HMS-ITP,CARLS WHOLESALE,127 PIERPOINTE DR,LITTLE RIVER,SC,29566,09/01/2016,09/30/2017
2675,HMS-ITP,WFM PURCHASING L P DBA WHOLE FOODS MARKET,PO BOX 684786,AUSTIN,TX,78768,03/01/2016,03/31/2017
487,HMS-ITP,GEORGE'S SEAFOOD INC,PO BOX 7207,NORFOLK,VA,23509,05/01/2016,05/31/2017
2798,HMS-ITP,GLOBAL FOOD NETWORKING INC,"8191 STRAWBERRY LANE, 416 SOUTH",FALLS CHURCH,VA,22042,07/20/2016,02/28/2017
1392,HMS-ITP,TRIDENT SEAFOODS CORP,"ATTN: LEGAL DEPARTMENT, 5303 SHILSHOLE AVE NW",SEATTLE,WA,98107,02/01/2016,02/28/2017
1613,HMS-ITP,SEA PRODUCTS WEST INC,PO BOX 4324,BELLINGHAM,WA,98227,06/01/2016,06/30/2017
1458,HMS-ITP,CANNON FISH COMPANY,1025 6TH AVE N,KENT,WA,98032,09/01/2016,09/30/2017
170,HMS-ITP,ORCA BAY SEAFOOD INC,900 POWELL AVENUE SW,RENTON,WA,98057,09/01/2016,09/30/2017
2752,HMS-ITP,INTERNATIONAL SEAFOOD VENTURES LLC,5121 NE 55TH ST,SEATTLE,WA,98105,06/01/2016,06/30/2017
879,HMS-ITP,SEA PORT PRODUCTS CORP,131 7TH AVENUE WEST,KIRKLAND,WA,98033,06/01/2016,06/30/2017
1581,HMS-ITP,NORTH PACIFIC SEAFOODS INC,POB 31179,SEATTLE,WA,98103,03/01/2016,03/31/2017
2249,HMS-ITP,TRUE WORLD FOODS SEATTLE LLC,"1501 S 92ND PL, SUITE D",SEATTLE,WA,98108,08/01/2016,02/28/2018
2785,HMS-ITP,THE TUNA STORE LLC,"10500 NE 8TH ST, STE 1888",BELLEVUE,WA,98004,05/16/2016,05/31/2017
