Year,Agency,Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year
2009,DOE,RL,0,1,1,0
2009,DOE,SEPA,0,0,0,0
2009,DOE,SPR,0,0,0,0
2009,DOE,SROO,0,0,0,0
2009,DOE,SWPA,0,0,0,0
2009,DOE,WAPA,0,0,0,0
2009,DOI,BIA,0,0,0,0
2009,DOI,BLM,0,0,0,0
2009,DOI,BOR,0,0,0,0
2009,DOI,FWS,0,0,0,0
2009,DOI,MMS,0,0,0,0
2009,DOI,NPS,0,0,0,0
2009,DOI,OIG,0,0,0,0
2009,DOI,OS,0,8,7,1
2009,DOI,OSM,0,0,0,0
2009,DOI,SOL,0,0,0,0
2009,DOI,USGS,0,1,1,0
2009,DOJ,Office of the AG,1,3,1,3
2009,DOJ,Office of the DAG,1,3,2,2
2009,DOJ,Office of the Assoc. AG,0,0,0,0
2009,DOJ,Antitrust,0,5,3,2
2009,DOJ,ATF,1,0,1,0
2009,DOJ,BOP,0,5,5,0
2009,DOJ,Civil,0,5,3,2
2009,DOJ,Civil Rights,0,4,4,0
2009,DOJ,COPS,0,2,2,0
2009,DOJ,Criminal,26,18,38,6
2009,DOJ,CRS,0,2,2,0
2009,DOJ,DEA,22,36,41,17
2009,DOJ,ENRD,0,4,4,0
2009,DOJ,EOIR,0,3,3,0
2009,DOJ,EOUSA,5,29,25,9
2009,DOJ,EOUST,0,2,2,0
2009,DOJ,FBI,237,1052,1152,137
2009,DOJ,FCSC,0,2,2,0
2009,DOJ,JMD,1,2,2,1
2009,DOJ,NDIC,0,0,0,0
2009,DOJ,NSD,2,13,7,8
2009,DOJ,ODR,0,0,0,0
2009,DOJ,OFDT,0,2,2,0
2009,DOJ,OIG,0,2,2,0
2009,DOJ,OIP,0,1,1,0
2009,DOJ,OIPL,0,0,0,0
2009,DOJ,OJP,1,0,0,1
2009,DOJ,OLA,0,0,0,0
2009,DOJ,OLC,0,6,6,0
2009,DOJ,OLP,0,1,1,0
2009,DOJ,OPR,0,1,1,0
2009,DOJ,OSG,0,0,0,0
2009,DOJ,OVW,0,0,0,0
2009,DOJ,Pardon Attorney,0,4,4,0
2009,DOJ,Public Affairs,0,0,0,0
2009,DOJ,PRAO,0,1,1,0
2009,DOJ,TAX,0,0,0,0
2009,DOJ,USMS,0,9,9,0
2009,DOJ,USNCB,0,0,0,0
2009,DOJ,USPC,0,3,3,0
2009,DOT,FAA,0,2,1,1
2009,DOT,FHWA,0,1,1,0
2009,DOT,FMCSA,0,0,0,0
2009,DOT,FRA,0,0,0,0
2009,DOT,FTA,0,0,0,0
2009,DOT,MARAD,0,0,0,0
2009,DOT,NHTSA,0,0,0,0
2009,DOT,OIG,0,0,0,0
2009,DOT,OST,1,4,5,0
2009,DOT,PHMSA,0,0,0,0
2009,DOT,RITA,0,0,0,0
2009,DOT,SLSDC,0,0,0,0
2009,EPA,HQ,13,53,55,11
2009,Ex-Im Bank,AGENCY,0,2,2,0
2009,FCA,FCA,0,0,0,0
2009,FCC,FCC,0,0,0,0
2009,FCSIC,FCSIC,0,0,0,0
2009,FDIC,FDIC,0,4,3,1
2009,FEC,FEC,0,0,0,0
