Year,Agency,Component,Number of Requests Pending as of Start of Fiscal Year,Number of Requests Received in Fiscal Year,Number of Requests Processed in Fiscal Year,Number of Requests Pending as of End of Fiscal Year
2013,CSOSA,CSOSA,31,793,720,104
2013,DHS,CBP,13513,41381,14635,40259
2013,DHS,CRCL,3,73,73,3
2013,DHS,FEMA,326,798,564,560
2013,DHS,FLETC,12,113,122,3
2013,DHS,I&A,3,109,78,34
2013,DHS,ICE,2903,34161,30818,6246
2013,DHS,NPPD,2395,15187,12942,4640
2013,DHS,OIG,23,170,142,51
2013,DHS,OPS,0,45,45,0
2013,DHS,PRIV,85,798,840,43
2013,DHS,S&T,1,26,26,1
2013,DHS,TSA,573,909,851,631
2013,DHS,USCG,760,3468,3098,1130
2013,DHS,USCIS,17024,132797,138523,11298
2013,DHS,USSS,853,1499,1575,777
2013,DNFSB,DNFSB,0,17,14,3
2013,DOC,BIS,1,42,38,5
2013,DOC,Census,21,286,290,17
2013,DOC,EDA,0,38,37,1
2013,DOC,ESA,0,8,8,0
2013,DOC,ITA,25,48,30,43
2013,DOC,MBDA,1,2,3,0
2013,DOC,NIST,48,207,221,34
2013,DOC,NOAA,151,429,441,139
2013,DOC,NTIA,15,116,116,15
2013,DOC,NTIS,1,8,8,1
2013,DOC,OIG,6,84,86,4
2013,DOC,OS,37,234,196,75
2013,DOC,PTO,22,321,319,24
2013,DoD,AF,958,6362,6283,1037
2013,DoD,AFRICOM,26,69,53,42
2013,DoD,ARMY,2270,33056,33315,2011
2013,DoD,ASBCA,0,3,3,0
2013,DoD,CENTCOM,227,295,321,201
2013,DoD,DCAA,5,105,107,3
2013,DoD,DCMA,59,209,221,47
2013,DoD,DeCA,7,177,184,0
2013,DoD,DFAS,8,266,261,13
2013,DoD,DIA,1194,1312,1667,839
2013,DoD,DISA,26,269,249,46
2013,DoD,DLA,112,5286,5351,47
2013,DoD,DoD IG,288,682,496,474
2013,DoD,DoDEA,5,54,53,6
2013,DoD,DSS,8,92,95,5
2013,DoD,DTIC,3,179,167,15
2013,DoD,DTRA,53,122,137,38
2013,DoD,EUCOM,63,96,124,35
2013,DoD,JPRA,2,7,8,1
2013,DoD,NAVY,1774,12409,12107,2076
2013,DoD,NGA,86,96,118,64
2013,DoD,NGB,24,108,79,53
2013,DoD,NORTHCOM,30,109,128,11
2013,DoD,NRO,45,199,186,58
2013,DoD,NSA,662,4328,4060,930
2013,DoD,OSD/JS,1147,1462,1347,1262
2013,DoD,PACOM,64,93,60,97
2013,DoD,SOCOM,157,140,112,185
2013,DoD,SOUTHCOM,170,190,172,188
2013,DoD,STRATCOM,1,35,25,11
2013,DoD,TRANSCOM,34,74,61,47
2013,DoD,TRICARE,19,130,129,20
2013,DOE,BPA,11,133,106,38
2013,DOE,CBFO,0,0,0,0
2013,DOE,CH,5,63,66,2
2013,DOE,EMCBC,5,69,60,14
2013,DOE,GFO,5,269,253,21
2013,DOE,HQ,259,803,866,196
2013,DOE,ID,2,36,38,0
2013,DOE,NETL,3,27,29,1
2013,DOE,NNSA,232,267,233,266
2013,DOE,NR,0,0,0,0
2013,DOE,NRLFO,2,7,8,1
2013,DOE,ORO,16,212,207,21
2013,DOE,OSTI,1,8,6,3
2013,DOE,ROO,4,100,95,9
2013,DOE,SEPA,0,5,5,0
2013,DOE,SPR,0,3,2,1
2013,DOE,SRO,3,42,42,3
2013,DOE,SWPA,0,10,7,3
2013,DOE,WAPA,1,24,23,2
2013,DOI,BIA,109,2011,1956,164
2013,DOI,BLM,155,942,939,158
2013,DOI,BOEM,25,87,94,18
2013,DOI,BOR,9,234,219,24
2013,DOI,BSEE,87,183,238,32
2013,DOI,FWS,148,1265,1242,171
2013,DOI,NPS,134,800,810,124
2013,DOI,OIG,67,98,113,52
2013,DOI,OS,83,403,431,55
2013,DOI,OSM,12,61,63,10
2013,DOI,SOL,62,72,90,44
2013,DOI,USGS,15,169,168,16
2013,DOJ,Office of the AG,198,310,321,187
2013,DOJ,Office of the DAG,150,165,185,130
2013,DOJ,Office of the Assoc. AG,33,88,96,25
2013,DOJ,Antitrust,39,117,104,52
2013,DOJ,ATF,208,1600,1054,754
2013,DOJ,BOP,1191,15843,15489,1545
2013,DOJ,Civil,92,381,429,44
2013,DOJ,Civil Rights,204,517,562,159
2013,DOJ,COPS,0,63,63,0
2013,DOJ,Criminal,220,945,955,210
2013,DOJ,CRS,1,16,17,0
2013,DOJ,DEA,500,1543,1724,319
2013,DOJ,ENRD,14,97,94,17
2013,DOJ,EOIR,1253,25336,25245,1344
2013,DOJ,EOUSA,1387,4612,4467,1532
2013,DOJ,EOUST,6,82,78,10
2013,DOJ,FBI,2296,12463,11579,3180
2013,DOJ,FCSC,2,18,20,0
2013,DOJ,JMD,28,111,120,19
2013,DOJ,NSD,50,252,145,157
2013,DOJ,OCDETF,3,54,50,7
2013,DOJ,OFDT,0,0,0,0
2013,DOJ,OIG,72,305,310,67
2013,DOJ,OIP,42,785,769,58
2013,DOJ,OIPL,0,0,0,0
2013,DOJ,OJP,43,400,391,52
2013,DOJ,OLA,63,91,89,65
2013,DOJ,OLC,27,86,76,37
2013,DOJ,OLP,12,73,75,10
2013,DOJ,OPR,63,114,145,32
2013,DOJ,OSG,23,104,108,19
2013,DOJ,OVW,10,46,51,5
2013,DOJ,Pardon Attorney,2,70,71,1
2013,DOJ,Public Affairs,24,36,34,26
2013,DOJ,PRAO,2,19,18,3
2013,DOJ,TAX,4,121,116,9
2013,DOJ,USMS,172,2590,2567,195
2013,DOJ,USNCB,4,209,208,5
2013,DOJ,USPC,20,419,416,23
2013,DOT,FAA,699,6650,6434,915
2013,DOT,FHWA,62,407,416,53
2013,DOT,FMCSA,379,1793,1785,387
2013,DOT,FRA,58,376,332,102
2013,DOT,FTA,17,278,271,24
2013,DOT,MARAD,68,134,136,66
2013,DOT,NHTSA,60,220,243,37
2013,DOT,OIG,16,117,107,26
2013,DOT,OST,54,345,327,72
2013,DOT,PHMSA,33,198,151,80
2013,DOT,RITA,3,27,26,4
2013,DOT,SLSDC,0,7,7,0
2013,ED,FSA,55,240,234,61
2013,ED,IES,2,51,46,7
2013,ED,IES-NAGB,0,1,1,0
2013,ED,M,50,187,182,55
2013,ED,OCFO,3,1,4,0
2013,ED,OCFO-CAM,10,44,48,6
2013,ED,OCIO,0,8,7,1
2013,ED,OCO,1,1,2,0
2013,ED,OCR,7,93,89,11
2013,ED,OCR-1 Boston,19,115,131,3
2013,ED,OCR-2 New York,41,149,139,51
2013,ED,OCR-3 Philadelphia,2,94,90,6
2013,ED,OCR-4 Atlanta,17,59,58,18
2013,ED,OCR-5 Chicago,5,153,152,6
2013,ED,OCR-6 Dallas,8,106,107,7
2013,ED,OCR-7 Kansas City,9,29,26,12
2013,ED,OCR-8 Denver,2,34,35,1
2013,ED,OCR-9 San Francisco,3,89,91,1
2013,ED,OCR-10 Seattle,4,86,88,2
2013,ED,OCR-12 Cleveland,4,31,31,4
2013,ED,OCR-Metro D.C.,15,90,93,12
2013,ED,ODS,0,10,8,2
2013,ED,OELA,0,0,0,0
2013,ED,OESE,13,91,102,2
2013,ED,OGC,1,3,3,1
2013,ED,OIG,5,71,73,3
2013,ED,OII,4,26,29,1
2013,ED,OLCA,1,6,6,1
2013,ED,OM,7,59,61,5
2013,ED,OM-PIRMS,25,296,294,27
2013,ED,OPE,15,85,89,11
2013,ED,OPEPD,1,5,5,1
2013,ED,OS,18,17,11,24
2013,ED,OSDFS,0,0,0,0
2013,ED,OSERS,1,82,83,0
2013,ED,OUS,1,1,1,1
2013,ED,OVAE,0,2,2,0
2013,EEOC,ATLANTA,100,1419,1433,86
2013,EEOC,BIRMINGHAM,118,1279,1310,87
2013,EEOC,CHARLOTTE,110,1269,1291,88
2013,EEOC,CHICAGO,48,962,980,30
2013,EEOC,DALLAS,160,1659,1658,161
2013,EEOC,HOUSTON,51,938,944,45
2013,EEOC,INDIANAPOLIS,142,2088,2166,64
2013,EEOC,LOS ANGELES,19,992,1011,0
2013,EEOC,MEMPHIS,45,694,678,61
2013,EEOC,MIAMI,78,2110,2052,136
2013,EEOC,NEW YORK,122,935,918,139
2013,EEOC,OLC/HDQ,81,483,466,98
2013,EEOC,PHILADELPHIA,117,1553,1470,200
2013,EEOC,PHOENIX,24,591,575,40
2013,EEOC,SAN FRANCISCO,110,724,725,109
2013,EEOC,ST. LOUIS,131,1064,1188,7
2013,EEOC,WFO,17,186,190,13
2013,EPA,HQ,666,1986,1656,996
2013,EPA,Region 1,40,224,239,25
2013,EPA,Region 2,11,1798,1521,288
2013,EPA,Region 3,114,1105,1030,189
2013,EPA,Region 4,88,868,875,81
2013,EPA,Region 5,127,1365,1346,146
2013,EPA,Region 6,92,605,581,116
2013,EPA,Region 7,41,559,544,56
2013,EPA,Region 8,36,361,342,55
2013,EPA,Region 9,39,604,589,54
2013,EPA,Region 10,94,476,408,162
2013,Ex-Im Bank,HQ,44,45,51,38
2013,FCA,FCA,1,29,29,1
2013,FCC,FCC,64,571,574,61
2013,FCSIC,FCSIC,0,8,8,0
2013,FDIC,FDIC,36,732,744,24
2013,FEC,FEC,8,87,73,22
2013,FERC,FERC,14,100,99,15
2013,FFIEC,FFIEC,0,22,22,0
2013,FHFA,FHFA-HQ,11,125,119,17
2013,FHFA,FHFA-OIG,0,40,32,8
2013,FLRA,FSIP,0,14,14,0
2013,FLRA,Authority,1,63,60,4
2013,FLRA,IG,0,4,4,0
2013,FLRA,OGC,0,4,4,0
2013,FLRA,ATRO,0,6,6,0
2013,FLRA,BORO,0,2,2,0
2013,FLRA,CHRO,0,2,2,0
2013,FLRA,DARO,0,3,3,0
2013,FLRA,DERO,0,1,1,0
2013,FLRA,SFRO,0,6,6,0
2013,FLRA,WARO,0,0,0,0
2013,FMC,FMC,16,26,24,18
2013,FMCS,FMCS,2,113,113,2
2013,FMSHRC,FMSHRC,3,176,174,5
2013,FOMC,FOMC,8,21,21,8
2013,FRB,FRB,53,838,854,37
2013,FRTIB,FRTIB,4,25,26,3
2013,FTC,FTC,7,1447,1443,11
2013,GSA,GSA,26,1352,1318,60
2013,HHS,ACF,242,233,322,153
2013,HHS,CMS,3701,51364,51682,3383
2013,HHS,OIG,18,714,726,6
2013,HHS,AHRQ,6,0,6,0
2013,HHS,CDC,587,1032,1039,580
2013,HHS,FDA,2575,9990,9702,2863
2013,HHS,HRSA,91,302,312,81
2013,HHS,IHS,6,124,102,28
2013,HHS,NIH,96,1210,1236,70
2013,HHS,SAMHSA,77,188,162,103
2013,HHS,OS,402,1301,1313,390
2013,HHS,OASH,208,440,505,143
2013,HHS,ACL,0,18,18,0
2013,HUD,HQ,187,1082,1139,130
2013,HUD,OIG,13,64,74,3
2013,HUD,R01,5,64,66,3
2013,HUD,R02,9,104,102,11
2013,HUD,R03,6,129,123,12
2013,HUD,R04,12,256,245,23
2013,HUD,R05,18,109,109,18
2013,HUD,R06,6,152,147,11
2013,HUD,R07,2,36,36,2
2013,HUD,R08,2,114,94,22
2013,HUD,R09,12,205,189,28
2013,HUD,R0X,6,73,76,3
2013,IAF,IAF,0,11,11,0
2013,IMLS,IMLS,1,42,41,2
2013,LSC,OLA,0,24,24,0
2013,LSC,OIG,0,13,13,0
2013,MCC,MCC,0,25,21,4
2013,MSPB,MSPB,0,207,202,5
2013,NARA,NARA,7610,12243,13253,6600
2013,NASA,ARC,7,63,62,8
2013,NASA,DFRC,1,11,11,1
2013,NASA,GRC,4,28,30,2
2013,NASA,GSFC,7,124,119,12
2013,NASA,HQ,18,241,253,6
2013,NASA,JPL,0,23,23,0
2013,NASA,JSC,14,146,147,13
2013,NASA,KSC,7,73,73,7
2013,NASA,LaRC,3,37,39,1
2013,NASA,MSFC,1,82,81,2
2013,NASA,NSSC,1,11,10,2
2013,NASA,OGC,0,0,0,0
2013,NASA,OIG,1,26,27,0
2013,NASA,SSC,0,8,8,0
2013,NCPC,NCPC,0,9,9,0
2013,NCUA,NCUA,9,127,134,2
2013,NEA,NEA,14,72,82,4
2013,NEH,NEH,0,35,34,1
2013,NIGC,NIGC,28,50,45,33
2013,NLRB,NLRB,122,5536,5550,108
2013,NMB,NMB,1,31,32,0
2013,NRPC,NRPC,33,179,187,25
2013,NSF,OGC,70,346,272,144
2013,NSF,OIG,1,32,33,0
2013,NTSB,NTSB,189,466,311,344
2013,ODNI,ODNI,141,388,374,155
2013,OGE,OGE,1,47,43,5
2013,OMB,OMB,20,222,181,61
2013,ONDCP,ONDCP,3,63,60,6
2013,ONHIR,ONHIR,0,248,248,0
2013,OPIC,OPIC,3,29,30,2
2013,OPM,OPM,1543,11188,12184,547
2013,OSC,OSC,112,149,129,132
2013,OSHRC,OSHRC,0,50,47,3
2013,OSTP,OSTP,3,128,130,1
2013,PBGC,PBGC,144,5721,5786,79
2013,PC,FOIA Office,15,160,134,41
2013,PC,OIG,2,13,15,0
2013,PRC,PRC,0,24,24,0
2013,RATB,RATB,1,13,14,0
2013,SBA,SBA,43,4933,4946,30
2013,SEC,SEC,382,12275,12167,490
2013,SIGAR,SIGAR,1,30,30,1
2013,SSA,SSA,590,39159,39455,294
2013,SSS,SSS,0,18,18,0
2013,State,DoS,11827,18673,21018,9482
2013,State,OIG,8,80,79,9
2013,STB,STB,0,34,32,2
2013,Treasury,BEP,7,90,90,7
2013,Treasury,BPD,2,149,146,5
2013,Treasury,DO,155,941,759,337
2013,Treasury,FinCEN,0,301,300,1
2013,Treasury,FMS,46,216,240,22
2013,Treasury,IRS,761,10990,11035,716
2013,Treasury,MINT,7,142,145,4
2013,Treasury,OCC,76,1816,1822,70
2013,Treasury,TIGTA,16,329,310,35
2013,Treasury,TTB,3,66,68,1
2013,TVA,TVA,25,162,161,26
2013,U.S. CPSC,U.S. CPSC,258,1935,1946,247
2013,U.S. DOL,ADJ BDS,3,31,34,0
2013,U.S. DOL,ALJ,3,149,149,3
2013,U.S. DOL,ASP,5,5,10,0
2013,U.S. DOL,BLS,6,42,48,0
2013,U.S. DOL,CFO,1,5,5,1
2013,U.S. DOL,EBSA,28,537,487,78
2013,U.S. DOL,ETA,159,2694,2760,93
2013,U.S. DOL,EXEC SEC,3,2,5,0
2013,U.S. DOL,ILAB,2,18,18,2
2013,U.S. DOL,MSHA,131,1773,1816,88
2013,U.S. DOL,OASAM,35,267,265,37
2013,U.S. DOL,OCIA,7,44,43,8
2013,U.S. DOL,ODEP,0,0,0,0
2013,U.S. DOL,OFCCP,37,265,275,27
2013,U.S. DOL,OIG,11,75,68,18
2013,U.S. DOL,OLMS,7,70,73,4
2013,U.S. DOL,OPA,14,13,10,17
2013,U.S. DOL,OSEC,1,20,17,4
2013,U.S. DOL,OSHA,550,8628,8816,362
2013,U.S. DOL,OWCP,49,1022,1011,60
2013,U.S. DOL,SOL,24,112,114,22
2013,U.S. DOL,VETS,138,234,356,16
2013,U.S. DOL,WB,3,12,15,0
2013,U.S. DOL,WHD,449,2737,2780,406
2013,US ADF,US ADF,0,4,4,0
2013,US RRB,OIG,0,10,7,3
2013,US RRB,RRB,0,112,112,0
2013,USAID,USAID,211,372,345,238
2013,USCCR,USCCR,0,23,23,0
2013,USDA,AMS,30,152,153,29
2013,USDA,APHIS,212,885,760,337
2013,USDA,ASCR,2,23,24,1
2013,USDA,FAS,4,37,40,1
2013,USDA,FNCS,19,277,271,25
2013,USDA,FS,407,2439,2353,493
2013,USDA,FSA,479,17231,16728,982
2013,USDA,FSIS,100,379,351,128
2013,USDA,GIPSA,5,58,61,2
2013,USDA,NAD,0,10,8,2
2013,USDA,NRCS,54,327,219,162
2013,USDA,OBPA,0,18,15,3
2013,USDA,OCFO,2,30,21,11
2013,USDA,OGC,13,30,27,16
2013,USDA,OIG,22,127,76,73
2013,USDA,OSEC/OCIO/DM,51,218,174,95
2013,USDA,RD,393,190,113,470
2013,USDA,REE,3,88,87,4
2013,USDA,RMA,25,61,75,11
2013,USIBWC,USIBWC,3,18,19,2
2013,USITC,USITC,1,35,35,1
2013,USNRC,USNRC,108,357,370,95
2013,USPS,PS,122,1398,1359,161
2013,USPS,OIG,24,599,599,24
2013,USPS,PIS,10,353,345,18
2013,USTDA,USTDA,1,13,12,2
2013,USTR,USTR,20,97,82,35
2013,VA,Admin,34,63,94,3
2013,VA,BVA,1,17,16,2
2013,VA,C&LA,5,52,55,2
2013,VA,CFM,54,81,62,73
2013,VA,GC,15,64,62,17
2013,VA,HRM,13,10,4,19
2013,VA,IG,0,4,2,2
2013,VA,Mgmt,7,7,8,6
2013,VA,NCA,22,133,144,11
2013,VA,OAL,41,215,243,13
2013,VA,OASHRA,2,5,2,5
2013,VA,OASP&IA,6,4,1,9
2013,VA,ODASB,2,2,0,4
2013,VA,ODASIA,1,32,0,33
2013,VA,ODI,1,1,1,1
2013,VA,OF,1,13,14,0
2013,VA,OIT,19,222,206,35
2013,VA,ORM,3,21,21,3
2013,VA,OSDBU,4,10,11,3
2013,VA,OSP,1,7,7,1
2013,VA,P&P,2,2,3,1
2013,VA,PA,3,1,0,4
2013,VA,SEC,19,72,50,41
2013,VA,VBA,776,2870,3039,607
2013,VA,VHA,1467,21739,22331,875
2014,ABMC,ABMC,1,9,10,0
2014,ACUS,ACUS,0,17,17,0
2014,AFRH,AFRH,0,13,13,0
2014,BBG,BBG,17,138,145,10
2014,CEQ,CEQ,43,35,30,48
2014,CFPB,CFPB,11,288,282,17
2014,CFTC,CFTC,20,164,151,33
2014,CIA,CIA,1092,3737,3795,1034
2014,CIGIE,CIGIE,10,38,42,6
2014,CNCS,CNCS,6,68,66,8
2014,CO,CO,3,43,43,3
2014,CPPBSD,CPPBSD,0,16,16,0
2014,CSB,CSB,1,64,54,11
2014,CSOSA,CSOSA,104,724,770,58
2014,DHS,CBP,41907,47261,51056,38112
2014,DHS,CRCL,3,80,74,9
2014,DHS,FEMA,560,772,508,824
2014,DHS,FLETC,3,103,99,7
2014,DHS,I&A,34,244,255,23
2014,DHS,ICE,6234,85081,33644,57671
2014,DHS,NPPD,4758,7775,5581,6952
2014,DHS,OIG,51,177,166,62
2014,DHS,OPS,0,59,59,0
2014,DHS,PRIV,43,705,665,83
2014,DHS,S&T,1,68,68,1
2014,DHS,TSA,546,859,491,914
2014,DHS,USCG,936,3203,2620,1519
2014,DHS,USCIS,11293,143794,141700,13387
2014,DHS,USSS,728,1061,1045,744
2014,DNFSB,DNFSB,3,30,31,2
2014,DOC,BIS,5,88,80,13
2014,DOC,Census,17,407,401,23
2014,DOC,EDA,1,40,35,6
2014,DOC,ESA,0,6,6,0
2014,DOC,ITA,42,53,21,74
2014,DOC,MBDA,0,6,6,0
2014,DOC,NIST,34,128,128,34
2014,DOC,NOAA,150,447,425,172
2014,DOC,NTIA,15,60,63,12
2014,DOC,NTIS,1,8,8,1
2014,DOC,OIG,3,115,104,14
2014,DOC,OS,75,231,191,115
2014,DOC,PTO,23,307,308,22
2014,DoD,AF,1035,6526,6439,1122
2014,DoD,AFRICOM,42,65,39,68
2014,DoD,ARMY,1993,31156,30743,2406
2014,DoD,ASBCA,0,13,12,1
2014,DoD,CENTCOM,201,260,295,166
2014,DoD,DCAA,3,81,82,2
2014,DoD,DCMA,46,222,230,38
2014,DoD,DeCA,0,146,144,2
2014,DoD,DFAS,13,247,253,7
2014,DoD,DHA,20,222,200,42
2014,DoD,DIA,836,832,932,736
2014,DoD,DISA,46,263,276,33
2014,DoD,DLA,47,3884,3809,122
2014,DoD,DoD IG,474,764,660,578
2014,DoD,DoDEA,6,46,49,3
2014,DoD,DSS,5,76,80,1
2014,DoD,DTIC,20,232,252,0
2014,DoD,DTRA,35,137,130,42
2014,DoD,EUCOM,35,91,92,34
2014,DoD,JPRA,1,9,10,0
2014,DoD,NAVY,2190,9961,9380,2771
2014,DoD,NGA,64,119,115,68
2014,DoD,NGB,57,116,95,78
2014,DoD,NORTHCOM,12,187,187,12
2014,DoD,NRO,58,167,147,78
2014,DoD,NSA,929,2990,2593,1326
2014,DoD,OSD/JS,1268,1575,1526,1317
2014,DoD,PACOM,84,75,118,41
2014,DoD,SOCOM,181,225,111,295
2014,DoD,SOUTHCOM,188,175,190,173
2014,DoD,STRATCOM,11,119,97,33
2014,DoD,TRANSCOM,38,74,35,77
2014,DOE,BPA,37,159,141,55
2014,DOE,CBFO,0,0,0,0
2014,DOE,CH,2,63,62,3
2014,DOE,EMCBC,14,73,65,22
2014,DOE,GFO,24,316,336,4
2014,DOE,HQ,196,898,902,192
2014,DOE,ID,0,27,26,1
2014,DOE,NETL,1,21,20,2
2014,DOE,NNSA,260,290,326,224
2014,DOE,NR,0,0,0,0
2014,DOE,NRLFO,1,5,6,0
2014,DOE,ORO,21,206,222,5
2014,DOE,OSTI,3,17,14,6
2014,DOE,ROO,9,84,90,3
2014,DOE,SEPA,0,5,5,0
2014,DOE,SPR,1,5,5,1
2014,DOE,SRO,3,24,27,0
2014,DOE,SWPA,3,9,10,2
2014,DOE,WAPA,2,17,17,2
2014,DOI,BIA,162,1564,1587,139
2014,DOI,BLM,159,760,778,141
2014,DOI,BOEM,17,94,92,19
2014,DOI,BOR,24,269,280,13
2014,DOI,BSEE,31,153,153,31
2014,DOI,FWS,194,1264,1168,290
2014,DOI,NPS,133,764,712,185
2014,DOI,OIG,52,133,162,23
2014,DOI,OS,63,447,440,70
2014,DOI,OSM,10,72,63,19
2014,DOI,SOL,36,80,66,50
2014,DOI,USGS,16,164,146,34
2014,DOJ,Office of the AG,191,251,161,281
2014,DOJ,Office of the DAG,132,137,92,177
2014,DOJ,Office of the Assoc. AG,25,76,56,45
2014,DOJ,Antitrust,52,102,97,57
2014,DOJ,ATF,772,1282,744,1310
2014,DOJ,BOP,1651,12707,13189,1169
2014,DOJ,Civil,50,354,366,38
2014,DOJ,Civil Rights,158,340,348,150
2014,DOJ,COPS,0,57,57,0
2014,DOJ,Criminal,215,665,678,202
2014,DOJ,CRS,0,11,9,2
2014,DOJ,DEA,317,1578,1551,344
2014,DOJ,ENRD,17,79,90,6
2014,DOJ,EOIR,1344,26614,25170,2788
2014,DOJ,EOUSA,1525,3455,2729,2251
2014,DOJ,EOUST,10,66,63,13
2014,DOJ,FBI,4199,11696,12705,3190
2014,DOJ,FCSC,0,11,10,1
2014,DOJ,JMD,19,133,128,24
2014,DOJ,NSD,128,196,223,101
2014,DOJ,OCDETF,7,37,41,3
2014,DOJ,OIG,65,271,259,77
2014,DOJ,OIP,60,856,859,57
2014,DOJ,OJP,51,364,325,90
2014,DOJ,OLA,68,61,50,79
2014,DOJ,OLC,37,91,86,42
2014,DOJ,OLP,10,35,37,8
2014,DOJ,OPR,32,89,111,10
2014,DOJ,OSG,19,66,61,24
2014,DOJ,OVW,5,87,75,17
2014,DOJ,Pardon Attorney,1,85,58,28
2014,DOJ,Public Affairs,27,18,10,35
2014,DOJ,PRAO,3,12,14,1
2014,DOJ,TAX,9,79,78,10
2014,DOJ,USMS,196,1929,1894,231
2014,DOJ,USNCB,5,194,198,1
2014,DOJ,USPC,48,404,404,48
2014,DOT,FAA,899,8131,7753,1277
2014,DOT,FHWA,52,438,463,27
2014,DOT,FMCSA,388,1815,1431,772
2014,DOT,FRA,102,412,396,118
2014,DOT,FTA,24,252,265,11
2014,DOT,MARAD,65,71,100,36
2014,DOT,NHTSA,34,269,225,78
2014,DOT,OIG,26,114,110,30
2014,DOT,OST,72,318,287,103
2014,DOT,PHMSA,71,165,154,82
2014,DOT,RITA,4,16,18,2
2014,DOT,SLSDC,0,11,11,0
2014,ED,OCTAE,0,4,4,0
2014,ED,OSHS,0,0,0,0
2014,ED,FSA,36,180,198,18
2014,ED,IES,6,48,46,8
2014,ED,IES-NAGB,0,2,2,0
2014,ED,M,66,157,169,54
2014,ED,OCFO,0,5,4,1
2014,ED,OCFO-CAM,6,31,29,8
2014,ED,OCIO,1,14,15,0
2014,ED,OCO,0,4,2,2
2014,ED,OCR,11,133,119,25
2014,ED,OCR-1 Boston,4,113,108,9
2014,ED,OCR-2 New York,55,161,139,77
2014,ED,OCR-3 Philadelphia,6,91,92,5
2014,ED,OCR-4 Atlanta,7,49,40,16
2014,ED,OCR-5 Chicago,7,156,156,7
2014,ED,OCR-6 Dallas,7,110,111,6
2014,ED,OCR-7 Kansas City,12,21,16,17
2014,ED,OCR-8 Denver,1,42,41,2
2014,ED,OCR-9 San Francisco,1,71,68,4
2014,ED,OCR-10 Seattle,2,86,87,1
2014,ED,OCR-12 Cleveland,4,37,34,7
2014,ED,OCR-Metro D.C.,12,81,53,40
2014,ED,ODS,3,10,8,5
2014,ED,OESE,2,74,71,5
2014,ED,OGC,1,2,3,0
2014,ED,OIG,3,60,60,3
2014,ED,OII,1,36,34,3
2014,ED,OLCA,1,5,6,0
2014,ED,OM,5,41,39,7
2014,ED,OM-PIRMS,11,256,250,17
2014,ED,OPE,12,81,80,13
2014,ED,OPEPD,2,4,2,4
2014,ED,OS,18,16,11,23
2014,ED,OSERS,0,47,44,3
2014,ED,OUS,1,6,6,1
2014,EEOC,ATLANTA,109,1245,1329,25
2014,EEOC,BIRMINGHAM,85,1111,1115,81
2014,EEOC,CHARLOTTE,69,1053,1046,76
2014,EEOC,CHICAGO,28,731,730,29
2014,EEOC,DALLAS,157,1644,1653,148
2014,EEOC,HOUSTON,42,803,791,54
2014,EEOC,INDIANAPOLIS,63,1758,1778,43
2014,EEOC,LOS ANGELES,2,1119,1120,1
2014,EEOC,MEMPHIS,61,734,750,45
2014,EEOC,MIAMI,136,1909,1949,96
2014,EEOC,NEW YORK,101,812,815,98
2014,EEOC,OLC/HDQ,33,473,459,47
2014,EEOC,PHILADELPHIA,208,1266,1371,103
2014,EEOC,PHOENIX,39,575,550,64
2014,EEOC,SAN FRANCISCO,102,809,768,143
2014,EEOC,ST. LOUIS,12,953,886,79
2014,EEOC,WFO,14,218,204,28
2014,EPA,HQ,996,1940,1932,1004
2014,EPA,Region 1,25,230,239,16
2014,EPA,Region 2,288,2099,2000,387
2014,EPA,Region 3,189,930,631,488
2014,EPA,Region 4,81,871,864,88
2014,EPA,Region 5,146,1738,1766,118
2014,EPA,Region 6,116,585,616,85
2014,EPA,Region 7,56,577,586,47
2014,EPA,Region 8,55,300,311,44
2014,EPA,Region 9,54,714,710,58
2014,EPA,Region 10,162,486,475,173
2014,Ex-Im Bank,OIG,0,6,6,0
2014,Ex-Im Bank,HQ,38,54,54,38
2014,FCA,FCA,1,43,44,0
2014,FCC,FCC,61,679,673,67
2014,FCSIC,FCSIC,0,11,11,0
2014,FDIC,FDIC,24,647,656,15
2014,FEC,FEC,22,98,87,33
2014,FERC,FERC,15,117,109,23
2014,FFIEC,FFIEC,0,18,18,0
2014,FHFA,FHFA-HQ,17,123,130,10
2014,FHFA,FHFA-OIG,8,37,41,4
2014,FLRA,FSIP,0,13,13,0
2014,FLRA,Authority,3,73,75,1
2014,FLRA,IG,0,2,2,0
2014,FLRA,OGC,0,1,1,0
2014,FLRA,ATRO,0,2,2,0
2014,FLRA,BORO,0,6,5,1
2014,FLRA,CHRO,0,0,0,0
2014,FLRA,DARO,0,0,0,0
2014,FLRA,DERO,0,1,1,0
2014,FLRA,SFRO,0,5,5,0
2014,FLRA,WARO,0,2,2,0
2014,FMC,FMC,18,41,43,16
2014,FMCS,FMCS,2,141,137,6
2014,FMSHRC,FMSHRC,5,152,156,1
2014,FOMC,FOMC,8,29,29,8
2014,FRB,FRB,37,812,815,34
2014,FRTIB,FRTIB,3,32,33,2
2014,FTC,FTC,11,1440,1425,26
2014,GSA,GSA,160,1522,1508,174
2014,HHS,ACF,154,1864,1255,763
2014,HHS,CMS,3383,26361,25027,4717
2014,HHS,OIG,6,843,815,34
2014,HHS,CDC,578,1141,1028,691
2014,HHS,FDA,2863,10224,10191,2896
2014,HHS,HRSA,89,355,352,92
