Year,Agency,Component,Number of Requests Pending as of Start of Fiscal Year,Number of Requests Received in Fiscal Year,Number of Requests Processed in Fiscal Year,Number of Requests Pending as of End of Fiscal Year
2009,FLRA,CHRO,0,1,1,0
2009,FLRA,DARO,0,1,1,0
2009,FLRA,DERO,0,2,2,0
2009,FLRA,SFRO,2,5,7,0
2009,FLRA,WARO,0,1,1,0
2009,FMC,FMC,11,31,26,16
2009,FMCS,FMCS,3,130,133,0
2009,FMSHRC,FMSHRC,2,46,47,1
2009,FOMC,FOMC,0,38,38,0
2009,FRB,FRB,5,1015,848,172
2009,FTC,FTC,8,1477,1467,18
2009,GSA,GSA,90,1558,1534,114
2009,HHS,ACF,432,467,177,722
2009,HHS,AOA,1,10,11,0
2009,HHS,CMS,10477,32541,32706,10312
2009,HHS,OIG,15,419,410,24
2009,HHS,OPHS,315,566,664,217
2009,HHS,AHRQ,5,72,68,9
2009,HHS,CDC,586,1272,1370,488
2009,HHS,FDA,6568,10337,12087,4818
2009,HHS,HRSA,26,338,334,30
2009,HHS,IHS,49,97,115,31
2009,HHS,NIH,151,1270,1306,115
2009,HHS,SAMHSA,51,157,125,83
2009,HHS,OS,668,1018,964,722
2009,HUD,FO,260,1607,1660,207
2009,HUD,HQ,368,958,1134,192
2009,HUD,IG,69,193,255,7
2009,IAF,IAF,0,8,7,1
2009,IMLS,IMLS,3,41,39,5
2009,MSPB,MSPB,6,334,335,5
2009,NARA,NARA,5781,18581,17508,6854
2009,NASA,ARC,58,93,109,42
2009,NASA,DFRC,2,15,16,1
2009,NASA,GRC,1,55,49,7
2009,NASA,GSFC,41,162,171,32
2009,NASA,HQS,138,354,282,210
2009,NASA,JPL,6,53,35,24
2009,NASA,JSC,16,217,231,2
2009,NASA,KSC,4,144,144,4
2009,NASA,LaRC,59,37,38,58
2009,NASA,MSFC,0,123,122,1
2009,NASA,NSSC,1,14,15,0
2009,NASA,OIG,5,40,37,8
2009,NASA,SSC,0,9,9,0
2009,NCUA,NCUA,5,193,184,14
2009,NEH,NEH,2,45,42,5
2009,NIGC,NIGC,6,67,67,6
2009,NMB,NMB,0,22,22,0
2009,NRPC,NRPC,28,182,200,10
2009,NSF,Foundation,1,318,303,16
2009,NSF,OIG,2,77,79,0
2009,OGE,OGE,3,74,73,4
2009,OMB,OMB,5,138,126,17
2009,ONDCP,OLC,0,38,38,0
2009,OPIC,OPIC,0,38,37,1
2009,OPM,OPM,99,3273,3317,55
2009,OSHRC,OSHRC,5,58,57,6
2009,OSTP,OSTP,9,31,39,1
2009,PC,FOIA Office,22,229,249,2
2009,PC,OIG,0,11,11,0
2009,PRC,PRC,1,22,22,1
2009,SBA,SBA,28,3892,3898,22
2009,SEC,HQ,899,7878,8285,492
2009,SIGIR,SIGIR,0,12,12,0
2009,SSA,SSA,1060,31340,31551,849
2009,SSS,SSS,0,29,29,0
2009,State,DoS,4611,10675,5974,9312
2009,State,OIG,9,42,50,1
2009,STB,STB,1,14,14,1
2009,Treasury,BEP,0,71,71,0
2009,Treasury,BPD,0,119,119,0
2009,Treasury,DO,1557,1099,890,1766
2009,Treasury,FinCEN,2,166,166,2
2009,Treasury,FMS,9,322,329,2
2009,Treasury,IRS,983,14405,14507,881
2009,Treasury,MINT,1,76,75,2
2009,Treasury,OCC,23,2693,2681,35
2009,Treasury,OTS,57,818,831,44
2009,Treasury,TIGTA,16,220,218,18
2009,Treasury,TTB,8,86,93,1
2009,TVA,TVA,19,162,162,19
2009,U.S. CPSC,U.S. CPSC,373,3435,3465,343
2009,U.S. DOL,ADJ BDS,2,23,24,1
2009,U.S. DOL,ALJ,6,120,125,1
2009,U.S. DOL,ASP,1,2,3,0
2009,U.S. DOL,BLS,0,25,23,2
2009,U.S. DOL,CFO,0,12,12,0
2009,U.S. DOL,EBSA,20,2400,2319,101
2009,U.S. DOL,ESA - OFCCP,19,349,341,27
2009,U.S. DOL,ESA - OLMS,8,112,117,3
2009,U.S. DOL,ESA - OMAP,0,3,3,0
2009,U.S. DOL,ESA - OWCP,26,623,629,20
2009,U.S. DOL,ESA - WHD,159,1340,1328,171
